JobId,DownloadDuration_Sim,UploadDuration_Sim
33039659,96.68951594855722,1.1344705558185524
33039664,96.6895159485569,1.134953203241821
33039662,64.6974869046621,1.134803471282794
33039675,60.94064394510869,1.1348873228289449
33039683,60.93597993882126,1.1347770217980724
33039661,64.70215091094963,1.1349305888088566
33039665,60.94064394510866,1.1346363290158479
33039672,60.93597993882127,1.1348061269527534
33039658,60.93597993882126,1.1348424238603911
33039669,96.68951594855723,1.1346812197371037
33039671,64.70215091094954,1.134874126953946
33039673,60.935979938821255,1.1345874630351318
33039682,64.70215091094958,1.134789533138246
33039676,60.93597993882132,1.1346689145830169
33039666,96.68951594855689,1.1348366259226168
33039677,64.69748690466209,1.1346441145815334
33039674,96.6941799548444,1.1348847743756778
33039667,60.93597993882136,1.134725846541187
33039660,64.69748690466213,1.134816254789257
33039681,60.94064394510906,1.1348935001497011
33039684,64.70215091094997,1.1347270506648783
33039668,96.68951594855719,1.1350064156122244
33039670,96.68951594855719,1.1348065970560128
33039678,60.94064394510869,1.1349668939637922
33039680,36.27594422885079,1.2194300491737522
33043454,41.86937314421448,1.7389994135519373
