SE,AVG_ALL,MAX_ALL,AVG_DOWN,MAX_DOWN,AVG_UP,MAX_UP
bohr3226.tier2.hep.manchester.ac.uk,16914.9,71284.6,0,0,16914.9,71284.6
marsedpm.in2p3.fr,34308.8,309688,309688,309688,15950.2,103229
dc2-grid-64.brunel.ac.uk,959.931,1379.07,0,0,959.931,1379.07
ccsrm02.in2p3.fr,10368.1,38514.5,0,0,10368.1,38514.5
cirigridse01.univ-bpclermont.fr,202428,311068,194752,311068,210423,311068
srm-biomed.gridpp.rl.ac.uk,4745.78,6511.53,0,0,4745.78,6511.53
sbgse1.in2p3.fr,6879.31,12207.3,0,0,6879.31,12207.3
